snapshot_date,start_date,end_date,page,clicks,impressions,ctr,position
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/,5,80,0.0625,7.025
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/hilton-head-cant-sell-house/,2,20,0.1,11.5
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/rapid-fire-offers/,2,69,0.028985507246376812,15.289855072463768
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/about/who-we-are/,1,27,0.037037037037037035,3.4074074074074074
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/atlanta-cant-sell-house/,1,64,0.015625,12.5625
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/chattanooga-cant-sell-house/,1,24,0.041666666666666664,23.25
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/pensacola-cant-sell-house/,1,13,0.07692307692307693,11.461538461538462
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/property-finders/,1,11,0.09090909090909091,26.90909090909091
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/a-quick-tip-for-wholesale-investors-on-running-comparables-for-your-buyers/,0,1,0.0,6.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/about/contact-us/,0,7,0.0,37.142857142857146
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/about/how-it-works/,0,16,0.0,12.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/about/our-company/,0,59,0.0,17.305084745762713
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/about/what-we-do/,0,20,0.0,21.2
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/about__trashed/contact-us/,0,11,0.0,2.4545454545454546
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/about__trashed/how-it-works/,0,1,0.0,2.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/all-you-have-to-do-is-respond/,0,1,0.0,11.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/asheville-cant-sell-house/,0,9,0.0,7.111111111111111
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/athens-cant-sell-house/,0,8,0.0,11.75
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/augusta-cant-sell-house/,0,9,0.0,14.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/birmingham-cant-sell-house/,0,3,0.0,7.666666666666667
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/cant-sell-house/,0,9,0.0,3.111111111111111
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/charlotte-cant-sell-house/,0,11,0.0,13.636363636363637
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/columbus-ga-cant-sell-house/,0,4,0.0,7.5
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/contact-us/,0,6,0.0,118.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/criteria/,0,5,0.0,6.8
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/dahlonega-cant-sell-house/,0,5,0.0,9.6
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/estate-sale/,0,1,0.0,81.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/faq-cant-sell-house/,0,5,0.0,5.6
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/fort-walton-beach-destin-cant-sell-house/,0,4,0.0,5.75
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/franklin-cant-sell-house/,0,4,0.0,9.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/gainesville-fl-cant-sell-house/,0,8,0.0,9.125
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/greensboro-cant-sell-house/,0,3,0.0,9.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/hoa-issues/,0,2,0.0,6.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/house-didnt-sell/,0,138,0.0,78.7536231884058
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/house-needs-repairs/,0,13,0.0,46.23076923076923
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/how-it-works/,0,12,0.0,16.166666666666664
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/index.php/home/,0,4,0.0,9.25
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/indianapolis-cant-sell-house/,0,37,0.0,36.351351351351354
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/indianapolis/,0,5,0.0,42.4
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/invest-with-us/,0,8,0.0,10.125
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/jacksonville-cant-sell-house/,0,8,0.0,12.5
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/job-loss/,0,7,0.0,9.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/kissimmee-cant-sell-house/,0,8,0.0,16.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/knoxville-cant-sell-house/,0,6,0.0,2.833333333333333
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/macon-cant-sell-house/,0,22,0.0,36.36363636363637
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/memphis-cant-sell-house/,0,5,0.0,5.8
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/miami-cant-sell-house/,0,32,0.0,8.6875
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/mobile-cant-sell-house/,0,2,0.0,6.5
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/myrtle-beach-cant-sell-house/,0,18,0.0,24.88888888888889
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/nashville-cant-sell-house/,0,10,0.0,11.1
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/next-steps-investor-buyer/,0,20,0.0,30.05
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/orlando-cant-sell-house/,0,7,0.0,11.428571428571429
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/panama-city-cant-sell-house/,0,6,0.0,10.166666666666666
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/paying-two-mortgages/,0,1,0.0,5.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/pigeon-forge-cant-sell-house/,0,2,0.0,4.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/privacy-policy/,0,2,0.0,5.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/realtors/,0,6,0.0,6.166666666666667
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/relocating/,0,4,0.0,4.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/reviews/,0,17,0.0,13.235294117647058
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/salt-lake-city-cant-sell-house/,0,15,0.0,11.466666666666667
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/savannah-cant-sell-house/,0,20,0.0,7.55
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/sell-a-house-during-divorce/,0,3,0.0,10.333333333333334
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/sell-a-house-with-tenants/,0,2,0.0,6.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/sell-house-fast-florida/,0,2,0.0,5.5
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/sell-house-fast-georgia/,0,4,0.0,7.75
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/sell-house-fast-tennessee/,0,1,0.0,1.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/sell-house-fast-utah/,0,1,0.0,60.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/sell-inherited-house/,0,13,0.0,53.69230769230769
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/sell-the-house-fast/,0,6,0.0,2.833333333333333
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/sell-your-house-without-a-realtor/,0,6,0.0,8.333333333333332
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/selling-house-for-job-relocation/,0,21,0.0,24.238095238095237
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/st-louis-cant-sell-house/,0,13,0.0,5.923076923076923
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/st-petersburg-cant-sell-house/,0,5,0.0,5.6
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/stop-foreclosure-fast/,0,21,0.0,36.666666666666664
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/tallahassee-cant-sell-house/,0,1,0.0,11.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/tampa-cant-sell-house/,0,4,0.0,5.0
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/tired-landlord/,0,90,0.0,17.466666666666665
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/vacant-house/,0,186,0.0,29.661290322580644
2026-04-08,2026-03-09,2026-04-08,https://workingwithhouses.com/valdosta-cant-sell-house/,0,8,0.0,37.75
